IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.169.195,2096,2096,true,NRT,Asia Pacific,Tokyo,104,11.77
168.138.194.121,2087,2087,true,NRT,Asia Pacific,Tokyo,87,11.77
89.168.116.116,443,443,true,FRA,Europe,Frankfurt,179,11.76
130.162.247.49,443,443,true,FRA,Europe,Frankfurt,176,11.76
158.101.203.158,443,443,true,FRA,Europe,Frankfurt,189,11.75
141.144.202.136,443,443,true,FRA,Europe,Frankfurt,160,11.75
150.230.192.173,80,80,false,NRT,Asia Pacific,Tokyo,77,11.73
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,184,11.73
150.230.205.56,2086,2086,false,NRT,Asia Pacific,Tokyo,111,11.72
151.145.68.166,2095,2095,false,NRT,Asia Pacific,Tokyo,76,11.72
158.101.208.219,443,443,true,FRA,Europe,Frankfurt,188,11.71
138.3.211.101,2096,2096,true,NRT,Asia Pacific,Tokyo,128,11.70
158.179.188.7,80,80,false,NRT,Asia Pacific,Tokyo,103,11.70
168.138.206.68,2083,2083,true,NRT,Asia Pacific,Tokyo,103,11.69
141.147.181.148,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.68
168.138.196.164,8080,8080,false,HKG,Asia Pacific,Hong Kong,159,11.68
152.70.103.145,2082,2082,false,NRT,Asia Pacific,Tokyo,104,11.68
158.179.189.235,80,80,false,NRT,Asia Pacific,Tokyo,99,11.66
141.148.246.126,443,443,true,FRA,Europe,Frankfurt,173,11.64
168.138.205.195,2082,2082,false,NRT,Asia Pacific,Tokyo,78,11.63
138.3.214.43,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.63
150.230.222.185,8443,8443,true,NRT,Asia Pacific,Tokyo,98,11.63
144.24.164.147,443,443,true,FRA,Europe,Frankfurt,166,11.62
138.3.212.226,2086,2086,false,NRT,Asia Pacific,Tokyo,110,11.61
140.83.36.42,2086,2086,false,NRT,Asia Pacific,Tokyo,102,11.60
158.179.178.145,8880,8880,false,NRT,Asia Pacific,Tokyo,77,11.60
138.3.212.226,8080,8080,false,NRT,Asia Pacific,Tokyo,101,11.60
141.147.95.77,443,443,true,FRA,Europe,Frankfurt,204,11.59
168.138.194.121,8880,8880,false,NRT,Asia Pacific,Tokyo,103,11.59
152.70.106.195,2095,2095,false,NRT,Asia Pacific,Tokyo,102,11.57
150.230.204.117,2053,2053,true,NRT,Asia Pacific,Tokyo,98,11.57
158.179.176.239,8080,8080,false,NRT,Asia Pacific,Tokyo,101,11.57
150.230.205.56,2087,2087,true,NRT,Asia Pacific,Tokyo,107,11.55
168.138.195.31,80,80,false,NRT,Asia Pacific,Tokyo,92,11.54
168.138.208.164,8080,8080,false,NRT,Asia Pacific,Tokyo,97,11.53
